,string label,string srcItem,Source,string dstItem,Destination,needRank,SmithType,string smithType,string material1,string material2,string material3,string material4,string material5,Material 1,Material 2,Material 3,Material 4,Material 5,int materialNum1,int materialNum2,int materialNum3,int materialNum4,int materialNum5,int materialNum5,materialsCombined
0,RECIPE_0001,LSword_01_01,Iron Sword,LSword_01_02,Bastard Sword,1,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x30,,,,,30,0,0,0,0,,- Iron Sword: Terra Crystal x30 (Common Smithy)
1,RECIPE_0002,LSword_01_01,Iron Sword,LSword_02_04,Grand Bastard Sword,1,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x30,,,,,30,0,0,0,0,,- Iron Sword: Ignis Crystal x30 (Common Smithy)
2,RECIPE_0003,LSword_01_01,Iron Sword,LSword_01_03,Fine Iron Sword,1,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x6,Ignis Crystal x6,Terra Crystal x6,Aes Crystal x6,Unda Crystal x6,6,6,6,6,6,,"- Iron Sword: Natura Crystal x6, Ignis Crystal x6, Terra Crystal x6, Aes Crystal x6, Unda Crystal x6 (Common Smithy)"
3,RECIPE_0004,LSword_01_02,Bastard Sword,LSword_03_06,Longsword,2,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x80,,,,,80,0,0,0,0,,- Bastard Sword: Aes Crystal x80 (Common Smithy)
4,RECIPE_0005,LSword_01_02,Bastard Sword,LSword_03_07,Terra Longsword,2,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x80,,,,,80,0,0,0,0,,- Bastard Sword: Terra Crystal x80 (Common Smithy)
5,RECIPE_0006,LSword_02_04,Grand Bastard Sword,LSword_03_06,Longsword,2,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x55,,,,,55,0,0,0,0,,- Grand Bastard Sword: Aes Crystal x55 (Common Smithy)
6,RECIPE_0007,LSword_02_04,Grand Bastard Sword,LSword_03_07,Terra Longsword,2,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x55,,,,,55,0,0,0,0,,- Grand Bastard Sword: Terra Crystal x55 (Common Smithy)
7,RECIPE_0008,LSword_01_03,Fine Iron Sword,LSword_03_07,Terra Longsword,2,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x80,,,,,80,0,0,0,0,,- Fine Iron Sword: Terra Crystal x80 (Common Smithy)
8,RECIPE_0009,LSword_01_03,Fine Iron Sword,LSword_03_08,Falchion,2,Aes,KIN,MT_R1_KIN_A,MT_R0_KIN_A,,,,Ore Fragment x6,Aes Crystal x65,,,,6,65,0,0,0,,"- Fine Iron Sword: Ore Fragment x6, Aes Crystal x65 (Aes Smithy)"
9,RECIPE_0010,LSword_01_03,Fine Iron Sword,LSword_03_06,Longsword,2,Common,COMMON,MT_R0_SUI_A,MT_R1_KIN_A,,,,Unda Crystal x40,Ore Fragment x15,,,,40,15,0,0,0,,"- Fine Iron Sword: Unda Crystal x40, Ore Fragment x15 (Common Smithy)"
10,RECIPE_0011,LSword_03_06,Longsword,LSword_05_10,Gladius,4,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x130,,,,,130,0,0,0,0,,- Longsword: Ignis Crystal x130 (Common Smithy)
11,RECIPE_0012,LSword_03_06,Longsword,LSword_05_11,Natura Gladius,4,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x130,,,,,130,0,0,0,0,,- Longsword: Natura Crystal x130 (Common Smithy)
12,RECIPE_0013,LSword_03_06,Longsword,LSword_05_12,Fine Longsword,4,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x30,Ignis Crystal x30,Terra Crystal x30,Aes Crystal x30,Unda Crystal x30,30,30,30,30,30,,"- Longsword: Natura Crystal x30, Ignis Crystal x30, Terra Crystal x30, Aes Crystal x30, Unda Crystal x30 (Common Smithy)"
13,RECIPE_0014,LSword_03_07,Terra Longsword,LSword_05_10,Gladius,4,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x130,,,,,130,0,0,0,0,,- Terra Longsword: Unda Crystal x130 (Common Smithy)
14,RECIPE_0015,LSword_03_07,Terra Longsword,LSword_06_16,Grand Gladius,5,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x155,,,,,155,0,0,0,0,,- Terra Longsword: Aes Crystal x155 (Common Smithy)
15,RECIPE_0016,LSword_03_07,Terra Longsword,LSword_05_12,Fine Longsword,4,Common,COMMON,MT_R0_SUI_A,MT_R1_KIN_A,,,,Unda Crystal x65,Ore Fragment x25,,,,65,25,0,0,0,,"- Terra Longsword: Unda Crystal x65, Ore Fragment x25 (Common Smithy)"
16,RECIPE_0017,LSword_05_10,Gladius,LSword_07_22,Falcata,6,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x180,,,,,180,0,0,0,0,,- Gladius: Natura Crystal x180 (Common Smithy)
17,RECIPE_0018,LSword_05_10,Gladius,LSword_07_23,Unda Falcata,6,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x180,,,,,180,0,0,0,0,,- Gladius: Unda Crystal x180 (Common Smithy)
18,RECIPE_0019,LSword_05_11,Natura Gladius,LSword_08_28,Grand Falcata,7,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x205,,,,,205,0,0,0,0,,- Natura Gladius: Terra Crystal x205 (Common Smithy)
19,RECIPE_0020,LSword_05_11,Natura Gladius,LSword_07_24,Ignis Falcata,6,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x180,,,,,180,0,0,0,0,,- Natura Gladius: Ignis Crystal x180 (Common Smithy)
20,RECIPE_0021,LSword_05_11,Natura Gladius,LSword_07_22,Falcata,6,Common,COMMON,MT_R0_DO_A,MT_R1_MOKU_A,,,,Terra Crystal x90,Fibrous Matter x30,,,,90,30,0,0,0,,"- Natura Gladius: Terra Crystal x90, Fibrous Matter x30 (Common Smithy)"
21,RECIPE_0022,LSword_06_16,Grand Gladius,LSword_07_22,Falcata,6,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x155,,,,,155,0,0,0,0,,- Grand Gladius: Natura Crystal x155 (Common Smithy)
22,RECIPE_0023,LSword_06_16,Grand Gladius,LSword_07_23,Unda Falcata,6,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x155,,,,,155,0,0,0,0,,- Grand Gladius: Unda Crystal x155 (Common Smithy)
23,RECIPE_0024,LSword_05_12,Fine Longsword,LSword_07_24,Ignis Falcata,6,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x180,,,,,180,0,0,0,0,,- Fine Longsword: Ignis Crystal x180 (Common Smithy)
24,RECIPE_0025,LSword_05_12,Fine Longsword,LSword_07_22,Falcata,6,Common,COMMON,MT_R0_DO_A,MT_R1_MOKU_A,,,,Terra Crystal x90,Fibrous Matter x30,,,,90,30,0,0,0,,"- Fine Longsword: Terra Crystal x90, Fibrous Matter x30 (Common Smithy)"
25,RECIPE_0026,LSword_07_22,Falcata,LSword_09_31,Ghoststeel Blade,8,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x230,,,,,230,0,0,0,0,,- Falcata: Unda Crystal x230 (Common Smithy)
26,RECIPE_0027,LSword_07_22,Falcata,LSword_09_34,Aes Ghoststeel Blade,8,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x230,,,,,230,0,0,0,0,,- Falcata: Aes Crystal x230 (Common Smithy)
27,RECIPE_0028,LSword_07_22,Falcata,LSword_09_35,Fine Falcata,8,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x50,Ignis Crystal x50,Terra Crystal x50,Aes Crystal x50,Unda Crystal x50,50,50,50,50,50,,"- Falcata: Natura Crystal x50, Ignis Crystal x50, Terra Crystal x50, Aes Crystal x50, Unda Crystal x50 (Common Smithy)"
28,RECIPE_0029,LSword_07_23,Unda Falcata,LSword_09_31,Ghoststeel Blade,8,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x230,,,,,230,0,0,0,0,,- Unda Falcata: Ignis Crystal x230 (Common Smithy)
29,RECIPE_0030,LSword_07_23,Unda Falcata,LSword_10_37,Grand Ghoststeel Blade,9,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x260,,,,,260,0,0,0,0,,- Unda Falcata: Natura Crystal x260 (Common Smithy)
30,RECIPE_0031,LSword_07_23,Unda Falcata,LSword_09_35,Fine Falcata,8,Common,COMMON,MT_R0_DO_A,MT_R1_KA_A,MT_R1_DO_A,,,Terra Crystal x80,Ash x30,Bone Shard x30,,,80,30,30,0,0,,"- Unda Falcata: Terra Crystal x80, Ash x30, Bone Shard x30 (Common Smithy)"
31,RECIPE_0032,LSword_08_28,Grand Falcata,LSword_09_31,Ghoststeel Blade,8,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x205,,,,,205,0,0,0,0,,- Grand Falcata: Unda Crystal x205 (Common Smithy)
32,RECIPE_0033,LSword_08_28,Grand Falcata,LSword_09_34,Aes Ghoststeel Blade,8,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x205,,,,,205,0,0,0,0,,- Grand Falcata: Aes Crystal x205 (Common Smithy)
33,RECIPE_0034,LSword_08_28,Grand Falcata,LSword_09_35,Fine Falcata,8,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x45,Ignis Crystal x45,Terra Crystal x45,Aes Crystal x45,Unda Crystal x45,45,45,45,45,45,,"- Grand Falcata: Natura Crystal x45, Ignis Crystal x45, Terra Crystal x45, Aes Crystal x45, Unda Crystal x45 (Common Smithy)"
34,RECIPE_0035,LSword_07_24,Ignis Falcata,LSword_09_31,Ghoststeel Blade,8,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x230,,,,,230,0,0,0,0,,- Ignis Falcata: Aes Crystal x230 (Common Smithy)
35,RECIPE_0036,LSword_07_24,Ignis Falcata,LSword_09_32,Terra Ghoststeel Blade,8,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x230,,,,,230,0,0,0,0,,- Ignis Falcata: Terra Crystal x230 (Common Smithy)
36,RECIPE_0037,LSword_07_24,Ignis Falcata,LSword_09_35,Fine Falcata,8,Common,COMMON,MT_R0_DO_A,MT_R1_KA_A,MT_R1_DO_A,,,Terra Crystal x80,Ash x30,Bone Shard x30,,,80,30,30,0,0,,"- Ignis Falcata: Terra Crystal x80, Ash x30, Bone Shard x30 (Common Smithy)"
37,RECIPE_0038,LSword_09_31,Ghoststeel Blade,LSword_11_43,Astral Blade,10,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x285,,,,,285,0,0,0,0,,- Ghoststeel Blade: Terra Crystal x285 (Common Smithy)
38,RECIPE_0039,LSword_09_31,Ghoststeel Blade,LSword_11_44,Ignis Astral Blade,10,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x285,,,,,285,0,0,0,0,,- Ghoststeel Blade: Ignis Crystal x285 (Common Smithy)
39,RECIPE_0040,LSword_09_31,Ghoststeel Blade,LSword_11_46,Fine Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x60,Ignis Crystal x60,Terra Crystal x60,Aes Crystal x60,Unda Crystal x60,60,60,60,60,60,,"- Ghoststeel Blade: Natura Crystal x60, Ignis Crystal x60, Terra Crystal x60, Aes Crystal x60, Unda Crystal x60 (Common Smithy)"
40,RECIPE_0041,LSword_09_34,Aes Ghoststeel Blade,LSword_11_43,Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x285,,,,,285,0,0,0,0,,- Aes Ghoststeel Blade: Natura Crystal x285 (Common Smithy)
41,RECIPE_0042,LSword_09_34,Aes Ghoststeel Blade,LSword_12_49,Grand Astral Blade,11,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x310,,,,,310,0,0,0,0,,- Aes Ghoststeel Blade: Unda Crystal x310 (Common Smithy)
42,RECIPE_0043,LSword_09_34,Aes Ghoststeel Blade,LSword_11_46,Fine Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,MT_R2_KIN_A,MT_R2_SUI_A,,,Natura Crystal x95,Obsidian x20,Beast Hide x20,,,95,20,20,0,0,,"- Aes Ghoststeel Blade: Natura Crystal x95, Obsidian x20, Beast Hide x20 (Common Smithy)"
43,RECIPE_0044,LSword_10_37,Grand Ghoststeel Blade,LSword_11_43,Astral Blade,10,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x260,,,,,260,0,0,0,0,,- Grand Ghoststeel Blade: Terra Crystal x260 (Common Smithy)
44,RECIPE_0045,LSword_10_37,Grand Ghoststeel Blade,LSword_11_44,Ignis Astral Blade,10,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x260,,,,,260,0,0,0,0,,- Grand Ghoststeel Blade: Ignis Crystal x260 (Common Smithy)
45,RECIPE_0046,LSword_10_37,Grand Ghoststeel Blade,LSword_11_46,Fine Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,MT_R0_KA_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Natura Crystal x55,Ignis Crystal x55,Terra Crystal x55,Aes Crystal x55,Unda Crystal x55,55,55,55,55,55,,"- Grand Ghoststeel Blade: Natura Crystal x55, Ignis Crystal x55, Terra Crystal x55, Aes Crystal x55, Unda Crystal x55 (Common Smithy)"
46,RECIPE_0047,LSword_09_32,Terra Ghoststeel Blade,LSword_12_49,Grand Astral Blade,11,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x310,,,,,310,0,0,0,0,,- Terra Ghoststeel Blade: Unda Crystal x310 (Common Smithy)
47,RECIPE_0048,LSword_09_32,Terra Ghoststeel Blade,LSword_11_45,Aes Astral Blade,10,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x285,,,,,285,0,0,0,0,,- Terra Ghoststeel Blade: Aes Crystal x285 (Common Smithy)
48,RECIPE_0049,LSword_09_32,Terra Ghoststeel Blade,LSword_11_46,Fine Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,MT_R2_KIN_A,MT_R2_SUI_A,,,Natura Crystal x95,Obsidian x20,Beast Hide x20,,,95,20,20,0,0,,"- Terra Ghoststeel Blade: Natura Crystal x95, Obsidian x20, Beast Hide x20 (Common Smithy)"
49,RECIPE_0050,LSword_09_35,Fine Falcata,LSword_12_49,Grand Astral Blade,11,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x310,,,,,310,0,0,0,0,,- Fine Falcata: Unda Crystal x310 (Common Smithy)
50,RECIPE_0051,LSword_09_35,Fine Falcata,LSword_11_45,Aes Astral Blade,10,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x285,,,,,285,0,0,0,0,,- Fine Falcata: Aes Crystal x285 (Common Smithy)
51,RECIPE_0052,LSword_09_35,Fine Falcata,LSword_11_46,Fine Astral Blade,10,Common,COMMON,MT_R0_MOKU_A,MT_R2_KIN_A,MT_R2_SUI_A,,,Natura Crystal x95,Obsidian x20,Beast Hide x20,,,95,20,20,0,0,,"- Fine Falcata: Natura Crystal x95, Obsidian x20, Beast Hide x20 (Common Smithy)"
52,RECIPE_0053,LSword_11_43,Astral Blade,LSword_13_51,Sunsilver Blade,12,Ignis,KA,MT_R3_KA_A,MT_R0_KA_A,,,,Luminescent Oil x10,Ignis Crystal x235,,,,10,235,0,0,0,,"- Astral Blade: Luminescent Oil x10, Ignis Crystal x235 (Ignis Smithy)"
53,RECIPE_0054,LSword_11_44,Ignis Astral Blade,LSword_13_51,Sunsilver Blade,12,Ignis,KA,MT_R0_NIJI_A,MT_R0_MOKU_A,MT_R0_DO_A,MT_R0_KIN_A,MT_R0_SUI_A,Prisma Crystal x70,Natura Crystal x70,Terra Crystal x70,Aes Crystal x70,Unda Crystal x70,70,70,70,70,70,,"- Ignis Astral Blade: Prisma Crystal x70, Natura Crystal x70, Terra Crystal x70, Aes Crystal x70, Unda Crystal x70 (Ignis Smithy)"
54,RECIPE_0055,LSword_12_49,Grand Astral Blade,LSword_13_51,Sunsilver Blade,12,Ignis,KA,MT_R3_KA_A,MT_R0_KA_A,,,,Luminescent Oil x10,Ignis Crystal x215,,,,10,215,0,0,0,,"- Grand Astral Blade: Luminescent Oil x10, Ignis Crystal x215 (Ignis Smithy)"
55,RECIPE_0056,LSword_11_45,Aes Astral Blade,LSword_13_51,Sunsilver Blade,12,Ignis,KA,MT_R3_KA_A,MT_R0_KA_A,,,,Luminescent Oil x10,Ignis Crystal x235,,,,10,235,0,0,0,,"- Aes Astral Blade: Luminescent Oil x10, Ignis Crystal x235 (Ignis Smithy)"
56,RECIPE_0057,LSword_11_46,Fine Astral Blade,LSword_13_51,Sunsilver Blade,12,Ignis,KA,MT_R3_KA_A,MT_R0_KA_A,,,,Luminescent Oil x10,Ignis Crystal x235,,,,10,235,0,0,0,,"- Fine Astral Blade: Luminescent Oil x10, Ignis Crystal x235 (Ignis Smithy)"
57,RECIPE_0058,LSword_05_13,Bladebreaker,LSword_07_25,Eckesachs,6,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x180,,,,,180,0,0,0,0,,- Bladebreaker: Aes Crystal x180 (Common Smithy)
58,RECIPE_0059,LSword_05_13,Bladebreaker,LSword_08_29,Grand Eckesachs,7,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x205,,,,,205,0,0,0,0,,- Bladebreaker: Terra Crystal x205 (Common Smithy)
59,RECIPE_0060,LSword_07_25,Eckesachs,LSword_09_33,Dainsleif,8,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x230,,,,,230,0,0,0,0,,- Eckesachs: Unda Crystal x230 (Common Smithy)
60,RECIPE_0061,LSword_07_25,Eckesachs,LSword_09_36,Aes Dainsleif,8,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x230,,,,,230,0,0,0,0,,- Eckesachs: Aes Crystal x230 (Common Smithy)
61,RECIPE_0062,LSword_08_29,Grand Eckesachs,LSword_09_33,Dainsleif,8,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x205,,,,,205,0,0,0,0,,- Grand Eckesachs: Unda Crystal x205 (Common Smithy)
62,RECIPE_0063,LSword_08_29,Grand Eckesachs,LSword_09_36,Aes Dainsleif,8,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x205,,,,,205,0,0,0,0,,- Grand Eckesachs: Aes Crystal x205 (Common Smithy)
63,RECIPE_0064,LSword_09_33,Dainsleif,LSword_11_47,Splasher,10,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x285,,,,,285,0,0,0,0,,- Dainsleif: Aes Crystal x285 (Common Smithy)
64,RECIPE_0065,LSword_09_33,Dainsleif,LSword_11_48,Terra Splasher,10,Common,COMMON,MT_R0_DO_A,,,,,Terra Crystal x285,,,,,285,0,0,0,0,,- Dainsleif: Terra Crystal x285 (Common Smithy)
65,RECIPE_0066,LSword_09_36,Aes Dainsleif,LSword_11_47,Splasher,10,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x285,,,,,285,0,0,0,0,,- Aes Dainsleif: Natura Crystal x285 (Common Smithy)
66,RECIPE_0067,LSword_09_36,Aes Dainsleif,LSword_12_50,Grand Splasher,11,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x310,,,,,310,0,0,0,0,,- Aes Dainsleif: Unda Crystal x310 (Common Smithy)
67,RECIPE_0068,LSword_11_47,Splasher,LSword_13_52,Vanisher,12,Rare,RARE,MT_R3_SUI_A,MT_R0_SUI_A,,,,Icelight x10,Unda Crystal x235,,,,10,235,0,0,0,,"- Splasher: Icelight x10, Unda Crystal x235 (Rare Smithy)"
68,RECIPE_0069,LSword_11_48,Terra Splasher,LSword_13_52,Vanisher,12,Unda,SUI,MT_R3_SUI_A,MT_R0_SUI_A,,,,Icelight x10,Unda Crystal x235,,,,10,235,0,0,0,,"- Terra Splasher: Icelight x10, Unda Crystal x235 (Unda Smithy)"
69,RECIPE_0070,LSword_12_50,Grand Splasher,LSword_13_52,Vanisher,12,Rare,RARE,MT_R3_SUI_A,MT_R0_SUI_A,,,,Icelight x10,Unda Crystal x215,,,,10,215,0,0,0,,"- Grand Splasher: Icelight x10, Unda Crystal x215 (Rare Smithy)"
70,RECIPE_0071,LSword_01_05,Scimitar,LSword_03_08,Falchion,2,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x80,,,,,80,0,0,0,0,,- Scimitar: Unda Crystal x80 (Common Smithy)
71,RECIPE_0072,LSword_01_05,Scimitar,LSword_04_09,Grand Falchion,3,Common,COMMON,MT_R0_KIN_A,,,,,Aes Crystal x105,,,,,105,0,0,0,0,,- Scimitar: Aes Crystal x105 (Common Smithy)
72,RECIPE_0073,LSword_03_08,Falchion,LSword_05_14,Cutlass,4,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x130,,,,,130,0,0,0,0,,- Falchion: Natura Crystal x130 (Common Smithy)
73,RECIPE_0074,LSword_03_08,Falchion,LSword_05_15,Unda Cutlass,4,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x130,,,,,130,0,0,0,0,,- Falchion: Unda Crystal x130 (Common Smithy)
74,RECIPE_0075,LSword_04_09,Grand Falchion,LSword_05_14,Cutlass,4,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x105,,,,,105,0,0,0,0,,- Grand Falchion: Natura Crystal x105 (Common Smithy)
75,RECIPE_0076,LSword_04_09,Grand Falchion,LSword_05_15,Unda Cutlass,4,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x105,,,,,105,0,0,0,0,,- Grand Falchion: Unda Crystal x105 (Common Smithy)
76,RECIPE_0077,LSword_05_14,Cutlass,LSword_08_30,Grand Dual Fullers,7,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x205,,,,,205,0,0,0,0,,- Cutlass: Natura Crystal x205 (Common Smithy)
77,RECIPE_0078,LSword_05_14,Cutlass,LSword_07_27,Unda Dual Fullers,6,Common,COMMON,MT_R0_SUI_A,,,,,Unda Crystal x180,,,,,180,0,0,0,0,,- Cutlass: Unda Crystal x180 (Common Smithy)
78,RECIPE_0079,LSword_05_15,Unda Cutlass,LSword_07_26,Dual Fullers,6,Common,COMMON,MT_R0_KA_A,,,,,Ignis Crystal x180,,,,,180,0,0,0,0,,- Unda Cutlass: Ignis Crystal x180 (Common Smithy)
79,RECIPE_0080,LSword_05_15,Unda Cutlass,LSword_08_30,Grand Dual Fullers,7,Common,COMMON,MT_R0_MOKU_A,,,,,Natura Crystal x205,,,,,205,0,0,0,0,,- Unda Cutlass: Natura Crystal x205 (Common Smithy)
80,RECIPE_0081,LSword_07_26,Dual Fullers,LSword_13_53,Waxing Crescent,12,Rare,RARE,MT_R3_MOKU_A,MT_R0_MOKU_A,,,,Screamroot x10,Natura Crystal x235,,,,10,235,0,0,0,,"- Dual Fullers: Screamroot x10, Natura Crystal x235 (Rare Smithy)"
81,RECIPE_0082,LSword_08_30,Grand Dual Fullers,LSword_13_53,Waxing Crescent,12,Rare,RARE,MT_R3_MOKU_A,MT_R0_MOKU_A,,,,Screamroot x10,Natura Crystal x235,,,,10,235,0,0,0,,"- Grand Dual Fullers: Screamroot x10, Natura Crystal x235 (Rare Smithy)"
82,RECIPE_0083,LSword_07_27,Unda Dual Fullers,LSword_13_53,Waxing Crescent,12,Natura,MOKU,MT_R3_MOKU_A,MT_R0_MOKU_A,,,,Screamroot x10,Natura Crystal x235,,,,10,235,0,0,0,,"- Unda Dual Fullers: Screamroot x10, Natura Crystal x235 (Natura Smithy)"
83,RECIPE_0084,LSword_07_17,Ancient Redwood Blade,LSword_11_38,Redwood Blade,10,Rare,RARE,MT_R2_MOKU_A,MT_R0_MOKU_A,,,,Latex x40,Natura Crystal x60,,,,40,60,0,0,0,,"- Ancient Redwood Blade: Latex x40, Natura Crystal x60 (Rare Smithy)"
84,RECIPE_0085,LSword_11_38,Redwood Blade,LSword_15_54,Redwood Curtana,14,Rare,RARE,MT_R3_MOKU_A,MT_R0_MOKU_A,,,,Screamroot x30,Natura Crystal x115,,,,30,115,0,0,0,,"- Redwood Blade: Screamroot x30, Natura Crystal x115 (Rare Smithy)"
85,RECIPE_0086,LSword_07_18,Ancient Volcano Blade,LSword_11_39,Volcano Blade,10,Rare,RARE,MT_R2_KA_A,MT_R0_KA_A,,,,Wax x40,Ignis Crystal x60,,,,40,60,0,0,0,,"- Ancient Volcano Blade: Wax x40, Ignis Crystal x60 (Rare Smithy)"
86,RECIPE_0087,LSword_11_39,Volcano Blade,LSword_15_55,Volcano Curtana,14,Rare,RARE,MT_R3_KA_A,MT_R0_KA_A,,,,Luminescent Oil x30,Ignis Crystal x115,,,,30,115,0,0,0,,"- Volcano Blade: Luminescent Oil x30, Ignis Crystal x115 (Rare Smithy)"
87,RECIPE_0088,LSword_07_19,Ancient Firma Blade,LSword_11_40,Firma Blade,10,Rare,RARE,MT_R2_DO_A,MT_R0_DO_A,,,,Leather x40,Terra Crystal x60,,,,40,60,0,0,0,,"- Ancient Firma Blade: Leather x40, Terra Crystal x60 (Rare Smithy)"
88,RECIPE_0089,LSword_11_40,Firma Blade,LSword_15_56,Firma Curtana,14,Rare,RARE,MT_R3_DO_A,MT_R0_DO_A,,,,Whetstone x30,Terra Crystal x115,,,,30,115,0,0,0,,"- Firma Blade: Whetstone x30, Terra Crystal x115 (Rare Smithy)"
89,RECIPE_0090,LSword_07_20,Ancient Platinum Blade,LSword_11_41,Platinum Blade,10,Rare,RARE,MT_R2_KIN_A,MT_R0_KIN_A,,,,Obsidian x40,Aes Crystal x60,,,,40,60,0,0,0,,"- Ancient Platinum Blade: Obsidian x40, Aes Crystal x60 (Rare Smithy)"
90,RECIPE_0091,LSword_11_41,Platinum Blade,LSword_15_57,Platinum Curtana,14,Rare,RARE,MT_R3_KIN_A,MT_R0_KIN_A,,,,Ancient Jewel x30,Aes Crystal x115,,,,30,115,0,0,0,,"- Platinum Blade: Ancient Jewel x30, Aes Crystal x115 (Rare Smithy)"
91,RECIPE_0092,LSword_07_21,Ancient Seiche Blade,LSword_11_42,Seiche Blade,10,Rare,RARE,MT_R2_SUI_A,MT_R0_SUI_A,,,,Beast Hide x40,Unda Crystal x60,,,,40,60,0,0,0,,"- Ancient Seiche Blade: Beast Hide x40, Unda Crystal x60 (Rare Smithy)"
